label,x,y
Spot_1,12555.00783289817,6307.5378590078335
Spot_10,12806.71505376344,6311.9838709677415
Spot_100,12752.46956521739,6425.6173913043485
Spot_1000,12545.60194174757,6856.78640776699
Spot_10000,12993.42913385827,9153.204724409448
Spot_10002,11058.835616438357,9154.776255707762
Spot_10003,11645.954337899544,9153.7899543379
Spot_10004,12679.993846153846,9159.37846153846
Spot_10005,13152.77664974619,9158.309644670053
Spot_10006,13172.533333333333,9149.946666666667
Spot_10007,13470.397260273972,9152.90410958904
Spot_10008,13521.639705882351,9153.80882352941
Spot_10009,13667.253602305476,9157.089337175792
Spot_1001,13350.216216216217,6856.9729729729725
Spot_10010,11619.609022556391,9155.661654135338
Spot_10011,12453.050847457627,9152.118644067798
Spot_10012,13877.850364963504,9158.335766423355
Spot_10013,11985.28,9157.308571428572
Spot_10014,13086.140350877193,9153.719298245614
Spot_10015,13110.53043478261,9155.669565217393
Spot_10016,13133.308333333332,9159.675
Spot_10017,13607.88108108108,9158.302702702702
Spot_10018,13815.82608695652,9158.652173913044
Spot_10019,13927.446428571431,9163.578571428572
Spot_1002,11417.082089552241,6863.074626865671
Spot_10020,10845.373134328358,9160.664179104477
Spot_10021,11121.725321888413,9163.120171673821
Spot_10022,13248.592039800997,9168.557213930348
Spot_10023,11311.233944954129,9164.729357798164
Spot_10024,12044.727272727272,9160.551136363636
Spot_10025,13365.888059701492,9162.477611940298
Spot_10026,13963.351999999999,9164.701333333333
Spot_10027,10891.004524886876,9161.24886877828
Spot_10028,11891.966666666667,9165.193333333333
Spot_10029,12509.66304347826,9165.733695652174
Spot_1003,11799.59151193634,6867.320954907162
Spot_10030,13800.051948051949,9163.337662337664
Spot_10031,13856.449275362316,9171.057971014492
Spot_10032,14207.555555555557,9163.761904761905
Spot_10034,13190.232258064516,9171.41935483871
Spot_10035,10985.49591280654,9181.1553133515
Spot_10036,12488.005714285715,9171.474285714286
Spot_10037,13288.236641221374,9168.87786259542
Spot_10038,14139.414141414141,9168.818181818182
Spot_1004,11857.830985915492,6859.816901408451
Spot_10040,13170.93023255814,9168.023255813954
Spot_10041,13446.83512544803,9178.806451612903
Spot_10042,14029.182795698924,9168.827956989247
Spot_10043,14083.806122448981,9169.826530612243
Spot_10044,11274.238095238095,9169.464285714286
Spot_10045,13106.838805970148,9181.770149253729
Spot_10046,13545.005917159764,9180.733727810652
Spot_10047,14164.843930635838,9178.15028901734
Spot_10048,13871.255319148935,9180.773049645391
Spot_10049,14188.082417582416,9176.989010989013
Spot_1005,12048.766666666665,6859.7555555555555
Spot_10050,10827.0,9180.83088235294
Spot_10051,11054.057522123894,9179.615044247788
Spot_10052,13014.360730593608,9183.045662100456
Spot_10053,14004.184126984126,9183.406349206347
Spot_10054,11209.89349112426,9182.325443786982
Spot_10055,12981.940217391304,9185.527173913044
Spot_10056,13474.256410256408,9183.51282051282
Spot_10057,13496.81690140845,9177.507042253521
Spot_10058,14026.345360824742,9186.721649484536
Spot_10059,13663.495238095236,9184.747619047619
Spot_1006,14094.770588235295,6863.217647058825
Spot_10060,13695.170068027212,9183.673469387757
Spot_10061,13899.702127659575,9182.670212765956
Spot_10063,13048.887218045113,9184.112781954887
Spot_10064,13218.40590405904,9188.276752767528
Spot_10065,13316.875621890547,9187.268656716418
Spot_10066,13370.86752136752,9188.021367521369
Spot_10067,13738.253164556963,9184.26582278481
Spot_10068,13985.534562211982,9187.479262672809
Spot_10069,10910.82258064516,9186.241935483871
Spot_1007,11996.902985074626,6867.380597014925
Spot_10070,12475.510791366909,9188.424460431657
Spot_10071,13802.76,9184.36
Spot_10072,14142.190243902442,9187.790243902438
Spot_10073,13421.537878787878,9188.545454545454
Spot_10074,13600.704545454546,9186.916666666666
Spot_10075,13962.805825242718,9189.781553398056
Spot_10076,12117.904761904761,9189.285714285714
Spot_10077,13032.589928057554,9192.964028776978
Spot_10078,13619.066666666668,9187.511111111113
Spot_1008,12529.58781362007,6869.8064516129025
Spot_10080,13884.073825503358,9194.657718120805
Spot_10081,14114.835125448033,9195.139784946237
Spot_10082,10935.742424242424,9196.5
Spot_10083,11228.985185185184,9194.65925925926
Spot_10085,11011.013698630137,9197.780821917808
Spot_10086,13498.150943396226,9191.132075471698
Spot_10087,13715.7,9189.933333333332
Spot_10088,13774.2,9189.0
Spot_10089,11122.496350364963,9198.620437956204
Spot_1009,12920.910891089108,6859.851485148514
Spot_10090,11782.157894736842,9193.859649122807
Spot_10091,13554.8,9193.333333333334
Spot_10092,14089.956204379561,9199.635036496353
Spot_10093,11202.681818181818,9198.931818181818
Spot_10094,12438.398550724638,9199.289855072464
Spot_10095,12464.317073170732,9199.764227642276
Spot_10096,13481.772727272728,9194.772727272728
Spot_10097,14039.285714285714,9200.063492063493
Spot_10098,11173.853658536584,9200.512195121952
Spot_101,13149.424242424244,6421.909090909091
Spot_1010,13750.714285714286,6858.857142857143
Spot_10100,13903.122222222222,9200.522222222222
Spot_10101,13942.306451612903,9199.951612903224
Spot_10102,10824.838235294117,9201.176470588236
Spot_10108,12653.24,9201.84
Spot_1011,14066.175308641976,6880.786419753086
Spot_10112,14059.25,9202.388888888889
Spot_10113,11093.172413793103,9202.275862068966
Spot_10114,12172.573770491805,9228.803278688523
Spot_10118,12409.277777777776,9203.555555555555
Spot_1012,14247.6914893617,6860.021276595745
Spot_10123,11007.176470588234,9236.882352941175
Spot_10126,12121.375,9227.0625
Spot_10127,13040.983870967742,9232.258064516129
Spot_10129,12249.857142857143,9228.857142857143
Spot_1013,12589.006896551724,6866.8413793103455
Spot_10132,11084.85,9236.25
Spot_10133,12203.551724137933,9232.241379310344
Spot_10135,13961.445783132529,9241.843373493975
Spot_10136,11984.639344262296,9237.956284153006
Spot_10137,12002.252631578947,9232.82105263158
Spot_10139,12639.496688741721,9240.490066225166
Spot_1014,13665.576923076924,6870.201923076923
Spot_10140,11118.238532110092,9240.752293577982
Spot_10141,11276.46153846154,9237.670329670329
Spot_10142,11449.380434782608,9237.255434782608
Spot_10143,11797.064285714287,9234.671428571428
Spot_10145,12465.176470588234,9240.811764705884
Spot_10146,12346.59595959596,9247.0101010101
Spot_10148,12531.730659025789,9252.37535816619
Spot_10149,13056.22033898305,9239.237288135591
Spot_1015,13792.212962962964,6864.86111111111
Spot_10150,11059.405529953918,9246.493087557605
Spot_10151,12988.403846153846,9248.524725274725
Spot_10152,12661.622448979593,9242.295918367347
Spot_10154,12237.227272727272,9256.60606060606
Spot_10156,12575.424050632913,9248.26582278481
Spot_10157,12141.131687242798,9256.38683127572
Spot_10158,11345.286392405063,9262.645569620254
Spot_10159,12486.823529411766,9257.199095022625
Spot_1016,13857.305194805193,6863.363636363636
Spot_10160,11029.68501529052,9259.755351681955
Spot_10161,11624.92700729927,9253.65693430657
Spot_10162,11963.161616161617,9258.838383838383
Spot_10163,12658.057777777778,9268.204444444445
Spot_10164,10830.440476190475,9261.666666666666
Spot_10165,11874.375,9268.36858974359
Spot_10166,12964.97950819672,9263.82786885246
Spot_10167,11428.375,9266.37037037037
Spot_10168,11602.77931034483,9260.744827586206
Spot_10169,11714.769547325102,9264.19341563786
Spot_1017,11568.992063492064,6866.460317460317
Spot_10170,11982.097938144329,9265.5206185567
Spot_10171,12119.233201581028,9266.91304347826
Spot_10172,11379.15443037975,9270.187341772153
Spot_10173,12002.885931558936,9270.357414448668
Spot_10174,10892.422222222222,9268.577777777778
Spot_10175,12401.6062992126,9269.582677165354
Spot_10176,11063.683168316831,9265.30693069307
Spot_10177,12085.71641791045,9265.835820895523
Spot_10179,12374.074626865671,9268.44776119403
Spot_1018,11962.4900990099,6870.148514851486
Spot_10180,12575.018691588784,9265.7476635514
Spot_10181,12866.86090225564,9276.266917293233
Spot_10183,11319.85534591195,9273.786163522012
Spot_10184,11674.892857142857,9265.767857142857
Spot_10185,13239.951515151517,9272.81212121212
Spot_10186,10771.423076923076,9269.46153846154
Spot_10187,11078.654205607476,9279.443925233643
Spot_10188,11625.298780487805,9269.384146341463
Spot_10189,11898.31976744186,9278.279069767445
Spot_1019,12379.153333333335,6867.293333333332
Spot_10190,12217.139534883721,9274.220930232555
Spot_10191,12024.496732026146,9274.843137254902
Spot_10192,12046.70945945946,9276.635135135135
Spot_10193,12550.60199004975,9276.945273631842
Spot_10194,11098.602409638555,9276.385542168675
Spot_10195,11658.308080808081,9281.5101010101
Spot_10196,12352.760869565218,9273.130434782608
Spot_10197,12684.897637795277,9277.566929133858
